year,area,stage,f
1998,4,juvenile,0.297883233792211
1999,4,juvenile,0.362698089212773
2000,4,juvenile,0.304954851568078
2001,4,juvenile,0.283980076913032
2002,4,juvenile,0.325785590204863
2003,4,juvenile,0.276536513437667
2004,4,juvenile,0.415528844905468
2005,4,juvenile,0.379811719331433
2006,4,juvenile,0.357270049474828
2007,4,juvenile,0.324328535508247
2008,4,juvenile,0.317244390408342
2009,4,juvenile,0.287549852520416
2010,4,juvenile,0.2514963436893
2011,4,juvenile,0.28430342062246
2012,4,juvenile,0.248383892571467
2013,4,juvenile,0.201251823871457
2014,4,juvenile,0.184728882094499
2015,4,juvenile,0.174682132044316
2016,4,juvenile,0.20882765525032
2017,4,juvenile,0.224468532347362
2018,4,juvenile,0.211201247614791
2019,4,juvenile,0.15849366145964
2020,4,juvenile,0.163177926910007
2021,4,juvenile,0.20368047984698
1952,5,juvenile,5.41026460566336e-05
1953,5,juvenile,0.000446739277178242
1954,5,juvenile,0.00135111463678118
1955,5,juvenile,0.000711846345874911
1956,5,juvenile,0.000495471364442537
1957,5,juvenile,0.000989667101814885
1958,5,juvenile,0.00116748582685491
1959,5,juvenile,0.000804472567769122
1960,5,juvenile,0.000962605732860227
1961,5,juvenile,0.00123076677676093
1962,5,juvenile,0.00179563728505544
1963,5,juvenile,0.00143510570700659
1964,5,juvenile,0.00123357262392658
1965,5,juvenile,0.00143689330456703
1966,5,juvenile,0.00197552364465024
1967,5,juvenile,0.00103626482413086
1968,5,juvenile,0.000785188668354945
1969,5,juvenile,0.00135057046977434
1970,5,juvenile,0.00149829431332819
1971,5,juvenile,0.00148097830483958
1972,5,juvenile,0.00128644507053455
1973,5,juvenile,0.00241801320875983
1974,5,juvenile,0.00154823187528576
1975,5,juvenile,0.000633469562494945
1976,5,juvenile,0.00130039521328604
1977,5,juvenile,0.000982296319442825
1978,5,juvenile,0.00117304991120825
1979,5,juvenile,0.00181296873012456
1980,5,juvenile,0.00221807137539595
1981,5,juvenile,0.00260663769209506
1982,5,juvenile,0.00154598941746011
1983,5,juvenile,0.00196131518002913
1984,5,juvenile,0.000932139609380946
1985,5,juvenile,0.0018842506513721
1986,5,juvenile,0.00137813729006194
1987,5,juvenile,0.00140430278431716
1988,5,juvenile,0.00305413434781517
1989,5,juvenile,0.00153760930334702
1990,5,juvenile,0.00234236173476505
1991,5,juvenile,0.00182579225352493
1992,5,juvenile,0.00155821144234822
1993,5,juvenile,0.00319295826753385
1994,5,juvenile,0.00338153971461593
1995,5,juvenile,0.00362211937999373
1996,5,juvenile,0.00323986010690072
1997,5,juvenile,0.00287876610777231
1998,5,juvenile,0.00286548069119321
1999,5,juvenile,0.0028442317892437
2000,5,juvenile,0.00373872956302529
2001,5,juvenile,0.00442723199507991
2002,5,juvenile,0.00565780776078774
2003,5,juvenile,0.00828218105324537
2004,5,juvenile,0.00862901863084451
2005,5,juvenile,0.00625628938479554
2006,5,juvenile,0.00593073266316744
2007,5,juvenile,0.00683889368183082
2008,5,juvenile,0.0070094566471696
2009,5,juvenile,0.00811316181406158
2010,5,juvenile,0.010981433662227
2011,5,juvenile,0.00923001072104855
2012,5,juvenile,0.0083104604736791
2013,5,juvenile,0.00711177962860306
2014,5,juvenile,0.0114738429750004
2015,5,juvenile,0.0105585537349645
2016,5,juvenile,0.00801898720400654
2017,5,juvenile,0.0111936846491664
2018,5,juvenile,0.00756694698048804
2019,5,juvenile,0.00936275416851627
2020,5,juvenile,0.00993167512226942
2021,5,juvenile,0.00684375310818741
1952,all,juvenile,0.0015203852277704
1953,all,juvenile,0.00248019222163369
1954,all,juvenile,0.00378644176852071
1955,all,juvenile,0.00220056114219479
1956,all,juvenile,0.00209111447836255
1957,all,juvenile,0.00191473569623527
1958,all,juvenile,0.00219186667773996
1959,all,juvenile,0.00333898538501055
1960,all,juvenile,0.00306365935762109
1961,all,juvenile,0.00382707533373835
1962,all,juvenile,0.00492590848877206
1963,all,juvenile,0.00342862839704236
1964,all,juvenile,0.00339418834301118
1965,all,juvenile,0.0034434243535855
1966,all,juvenile,0.00380758526563013
